Номер теста,Размер массива,Время (сек),Сравнения,Обмены,Шаги
1,100,6.920899613760412e-05,1498,277,1775
2,200,0.0001410000113537535,2965,654,3619
3,300,0.0002398329961579293,5038,975,6013
4,400,0.00035583399585448205,7106,1468,8574
5,500,0.000476166998851113,9370,1938,11308
6,600,0.0006481669988716021,11840,2396,14236
7,700,0.0008037910010898486,14511,2903,17414
8,800,0.0008932079945225269,17375,3411,20786
9,900,0.0009945420024450868,18647,3825,22472
10,1000,0.0012854579981649294,22709,4523,27232
11,1100,0.001323250005953014,23874,4888,28762
12,1200,0.0014412919990718365,27235,5492,32727
13,1300,0.0017065419960999861,30809,6250,37059
14,1400,0.0019591250020312145,33184,6623,39807
15,1500,0.0018486250046407804,35551,6998,42549
16,1600,0.0023099579993868247,42717,7765,50482
17,1700,0.0025640000094426796,45384,8276,53660
18,1800,0.0026410419959574938,44450,9100,53550
19,1900,0.0026886249979725108,48817,9414,58231
20,2000,0.002747124992311001,51379,9974,61353
21,2100,0.0029220830037957057,51848,10692,62540
22,2200,0.003014208996319212,54317,11234,65551
23,2300,0.0036445000005187467,61385,11741,73126
24,2400,0.0034115839953301474,61635,12199,73834
25,2500,0.0036485410091700032,64224,12804,77028
26,2600,0.0040143329970305786,69379,13444,82823
27,2700,0.004270958001143299,72060,14096,86156
28,2800,0.004634915996575728,88707,14880,103587
29,2900,0.004286541996407323,77381,15144,92525
30,3000,0.00473562499973923,80055,15797,95852
31,3100,0.004664916996262036,85829,16760,102589
32,3200,0.004757500006235205,85384,16713,102097
33,3300,0.004954333999194205,88052,17325,105377
34,3400,0.0053562500106636435,100919,18607,119526
35,3500,0.005318667012033984,96893,19116,116009
36,3600,0.006409416993847117,114037,20582,134619
37,3700,0.00594966700009536,109823,20852,130675
38,3800,0.005852416987181641,105188,20850,126038
39,3900,0.006209958010003902,107955,21354,129309
40,4000,0.006371084004058503,114721,22482,137203
41,4100,0.00679508299799636,113484,22428,135912
42,4200,0.006417625001631677,116255,23098,139353
43,4300,0.006543583993334323,114728,23567,138295
44,4400,0.006964041996980086,126187,24801,150988
45,4500,0.0073822910053422675,133552,25230,158782
46,4600,0.00768520800920669,136509,26249,162758
47,4700,0.007810416995198466,139488,27793,167281
48,4800,0.008296707994304597,147256,28361,175617
49,4900,0.007933500004583038,140513,27706,168219
50,5000,0.008383207998122089,148381,28345,176726
51,5100,0.008523791999323294,146262,29165,175427
52,5200,0.008758791998843662,159520,29864,189384
53,5300,0.009229250004864298,146685,29830,176515
54,5400,0.009447333010029979,160258,30420,190678
55,5500,0.00976037498912774,157722,31120,188842
56,5600,0.009655583999119699,160593,31734,192327
57,5700,0.009895499999402091,174858,33234,208092
58,5800,0.010373917000833899,183710,34104,217814
59,5900,0.010602499998640269,186896,33946,220842
60,6000,0.010575709005934186,190050,34913,224963
61,6100,0.011600165991694666,205414,36320,241734
62,6200,0.011316792006255127,196386,37575,233961
63,6300,0.011034291994292289,199559,37436,236995
64,6400,0.011091249994933605,196318,37375,233693
65,6500,0.011519833991769701,199381,38513,237894
66,6600,0.011900958008482121,202462,39095,241557
67,6700,0.011803667002823204,212223,40229,252452
68,6800,0.011994708009297028,208595,40628,249223
69,6900,0.011695208988385275,204752,40109,244861
70,7000,0.011807542003225535,200723,41032,241755
71,7100,0.012895749998278916,231991,42135,274126
72,7200,0.012295874999836087,213659,42007,255666
73,7300,0.012358833002508618,209332,42657,251989
74,7400,0.014833083012490533,249182,44539,293721
75,7500,0.013366165992920287,230049,44723,274772
76,7600,0.013736833003349602,240717,45731,286448
77,7700,0.014768833003472537,259285,46282,305567
78,7800,0.014165417000185698,247051,47041,294092
79,7900,0.014568665996193886,258122,49091,307213
80,8000,0.014800999997532926,261384,49485,310869
81,8100,0.016165874985745177,288956,51291,340247
82,8200,0.014486166008282453,251530,49568,301098
83,8300,0.014796874995226972,262899,50248,313147
84,8400,0.015744874996016733,274456,50852,325308
85,8500,0.015200084002572112,269223,52204,321427
86,8600,0.016433541997685097,289588,52797,342385
87,8700,0.016884416007087566,301649,54049,355698
88,8800,0.016156666999449953,287529,54200,341729
89,8900,0.016166208006325178,281884,53402,335286
90,9000,0.01569191699672956,276056,54749,330805
91,9100,0.0160189580055885,279122,54537,333659
92,9200,0.016113166013383307,282195,56621,338816
93,9300,0.016315957996994257,285261,55999,341260
94,9400,0.016412375000072643,288327,56713,345040
95,9500,0.017012583004543558,300896,57363,358259
96,9600,0.017834334008512087,313656,59517,373173
97,9700,0.01962233299855143,355720,59644,415364
98,9800,0.01808245899155736,320180,60280,380460
99,9900,0.01953029200376477,343256,60948,404204
100,10000,0.018388291005976498,326734,61734,388468
